#OTU ID	1xHFWxCD	2xHFWxHFD	3xHFWxCD	4xHFWxHFD	5xHFWxCD	6xHFWxHFD	7xHFWxCD	8xHFWxHFD	9xHFWxCD	10xHFWxHFD	11xHFWxHFD	12xHFWxCD	13xSPFxCD	14xSPFxCD	15xSPFxCD	16xSPFxCD	17xSPFxCD	18xSPFxCD	19xSPFxHFD	20xSPFxHFD	21xSPFxHFD	22xSPFxHFD	23xSPFxHFD	24xSPFxHFD
Zotu4	976	110	671	242	463	436	2668	164	471	362	223	1186	1567	394	400	665	267	773	759	1889	429	1313	2226	1105
Zotu104	152	32	38	32	98	12	104	29	69	36	65	105	0	0	0	0	0	0	9	10	25	9	25	17
Zotu8	4113	142	502	53	4734	57	3889	32	275	176	102	650	0	0	0	0	2	0	30	198	18	4	177	114
Zotu43	502	148	83	118	483	109	561	161	258	92	206	337	0	0	0	0	1	0	39	52	41	20	67	66
Zotu2	4532	15	1668	2	2926	2	1824	4	2974	27	31	1143	2538	5319	2162	6235	4491	1567	136	438	152	1069	164	381
Zotu105	122	12	39	7	138	16	112	24	20	3	1	13	102	48	65	95	132	71	4	3	0	1	1	3
Zotu20	541	3	111	155	546	74	373	38	68	40	84	316	252	414	688	286	307	297	57	33	177	99	31	39
Zotu65	66	4	597	0	319	5	97	4	60	0	1	150	341	226	299	56	132	122	1	12	0	0	6	0
Zotu12	584	439	1921	74	629	335	206	67	765	113	36	391	1358	306	519	87	1341	1500	717	456	19	132	199	349
Zotu97	51	0	5	0	36	1	25	1	3	2	4	11	4	13	28	5	47	40	250	73	419	125	124	140
Zotu17	987	0	894	0	887	0	36	0	1	1	0	0	1387	823	1159	244	913	15	0	38	0	0	0	0
Zotu18	281	73	40	57	228	61	504	119	76	208	452	283	199	406	345	839	184	298	169	57	639	130	121	323
Zotu72	255	22	72	50	352	17	335	11	19	42	68	70	22	135	48	132	37	43	43	5	160	30	0	35
Zotu82	22	29	1	84	5	18	7	27	4	137	340	9	47	21	8	69	42	39	179	37	56	32	35	76
Zotu141	50	21	15	45	56	19	67	21	0	13	19	9	8	4	3	6	2	8	20	20	24	7	24	14
Zotu37	243	158	63	69	92	127	362	40	128	116	31	87	154	123	136	66	119	171	268	544	278	343	546	307
Zotu280	23	12	47	1	1	0	0	0	0	0	0	0	0	0	4	5	0	1	0	0	0	0	0	0
Zotu116	76	0	11	1	153	1	140	0	90	0	0	139	7	49	55	8	8	7	0	2	0	0	0	0
Zotu14	1343	192	1603	86	1626	144	313	83	667	61	66	1646	1264	1011	538	418	884	265	20	123	8	33	74	23
Zotu13	327	559	625	297	732	958	595	383	648	303	343	512	328	244	510	33	170	489	341	727	84	114	571	265
Zotu115	40	45	3	36	61	34	46	35	23	20	42	46	12	16	60	76	17	19	14	4	89	26	5	19
Zotu153	41	117	42	36	26	97	26	27	0	37	34	1	0	0	0	0	0	0	0	0	0	0	0	0
Zotu22	96	400	6	880	598	526	103	458	34	100	25	286	256	92	67	58	239	242	565	120	430	535	321	188
Zotu49	257	185	61	63	89	107	371	39	124	124	23	105	90	42	74	40	49	85	177	431	152	156	335	181
Zotu108	78	99	100	163	0	6	84	114	2	156	365	0	1	1	1	5	0	2	1	1	4	1	0	0
Zotu64	73	5	538	3	344	9	67	2	70	0	3	121	343	196	314	65	144	118	1	16	0	1	7	0
Zotu68	209	42	21	82	115	52	199	139	30	55	136	27	15	49	46	59	35	13	44	58	255	18	80	19
Zotu5	2852	1	2716	0	2429	0	91	0	1	0	0	1	4048	2607	3708	719	2859	47	0	113	0	0	0	0
Zotu202	38	7	19	7	35	7	26	3	19	3	13	5	25	1	1	0	2	1	0	0	0	0	0	1
Zotu107	80	43	77	38	16	55	8	23	77	49	23	105	104	120	111	75	109	64	13	43	21	18	18	15
Zotu87	97	52	14	74	125	64	90	62	18	92	95	49	74	51	56	41	119	31	25	60	67	90	73	124
Zotu30	657	140	616	119	751	163	709	98	123	146	64	173	106	116	204	67	105	5	35	209	15	163	185	86
Zotu133	291	23	15	17	5	13	41	8	16	6	3	17	15	27	17	10	10	9	14	53	6	8	35	2
Zotu267	45	0	12	0	21	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu32	285	78	157	53	388	183	492	107	528	86	104	287	352	197	214	64	231	377	23	61	18	36	69	88
Zotu6	652	1144	914	1036	641	1333	1566	672	1420	755	503	685	530	254	479	469	405	705	704	2394	289	1121	1400	752
Zotu48	473	365	46	549	163	366	230	623	27	3	63	49	0	0	0	0	0	0	1	0	1	0	0	0
Zotu7	447	1370	913	803	1025	1497	1054	603	1746	740	887	1003	631	455	677	423	400	1014	430	556	197	348	626	262
Zotu209	73	25	137	3	0	0	0	2	0	4	16	0	0	1	1	19	0	0	0	0	0	0	0	0
Zotu59	49	111	24	75	32	123	3	63	4	33	47	18	43	13	24	5	19	9	246	1045	13	64	601	66
Zotu58	424	5	44	32	253	17	318	38	25	121	323	6	8	315	0	14	35	24	35	30	113	136	33	80
Zotu41	289	169	48	25	242	72	126	31	217	44	5	249	103	539	424	132	128	106	27	122	93	370	212	97
Zotu319	10	0	1	0	6	0	3	0	5	0	0	6	2	0	3	2	14	1	0	0	0	5	0	0
Zotu33	77	52	52	9	65	26	9	12	358	35	6	394	832	494	632	274	493	690	46	83	12	39	57	4
Zotu56	173	233	16	104	105	114	145	179	36	96	135	72	76	98	67	128	110	148	53	27	118	17	52	52
Zotu74	104	97	15	115	137	103	215	172	6	141	145	61	2	0	57	57	8	23	34	37	48	12	60	71
Zotu111	24	4	30	7	34	16	9	10	67	66	114	42	63	11	5	45	210	27	0	14	8	0	10	50
Zotu40	171	165	28	175	151	199	184	187	72	158	230	131	127	102	105	198	152	198	96	72	231	140	127	207
Zotu51	213	227	5	174	1	164	133	177	132	172	233	68	0	1	0	1	25	1	78	183	101	302	209	424
Zotu3	71	284	592	1226	2085	1989	2560	971	3865	611	450	3243	1631	2823	3478	1624	1551	3008	1319	2550	446	110	2414	1515
Zotu160	28	11	10	17	3	9	6	12	15	4	0	21	17	18	8	14	12	26	43	50	19	10	43	102
Zotu46	228	140	8	753	370	31	233	140	100	69	172	44	19	36	4	299	95	40	147	40	515	37	36	14
Zotu94	104	327	120	126	58	202	56	58	1	73	157	0	1	0	0	0	0	0	0	0	0	0	0	0
Zotu47	149	141	199	266	7	17	207	230	2	296	679	0	1	285	367	826	317	270	158	41	188	90	6	20
Zotu80	80	34	18	65	115	32	123	91	45	52	109	93	14	22	9	66	11	24	86	44	178	43	87	199
Zotu23	125	397	293	287	273	542	284	214	571	194	316	328	206	143	183	52	152	349	130	215	77	177	186	81
Zotu144	114	0	53	0	48	0	33	0	22	0	0	53	40	49	26	5	44	6	0	0	0	0	0	0
Zotu93	101	70	47	106	165	50	20	35	20	2	3	52	88	56	90	107	93	88	2	3	25	2	2	28
Zotu57	18	110	6	155	21	31	26	47	7	111	96	17	72	149	184	285	180	83	114	45	486	223	98	331
Zotu67	29	326	68	108	35	127	15	132	47	21	50	52	96	133	78	39	130	105	7	51	44	16	40	118
Zotu53	131	119	40	272	104	170	75	329	40	446	369	67	76	43	43	39	114	111	139	53	80	236	87	121
Zotu148	27	15	1	16	23	14	32	13	11	8	26	26	20	11	39	60	11	22	13	1	28	29	2	19
Zotu9	280	688	620	121	362	723	261	132	1124	460	576	693	755	600	762	142	619	930	112	387	938	242	197	1364
Zotu69	107	79	132	47	153	80	168	48	300	47	36	139	96	57	80	74	90	173	43	70	8	43	43	13
Zotu77	124	66	15	49	98	38	62	68	26	62	56	50	51	92	103	123	86	62	57	62	85	59	85	129
Zotu317	5	14	0	16	0	9	0	10	2	9	11	6	1	3	0	1	3	1	5	1	3	1	6	3
Zotu183	48	20	6	11	59	13	35	18	26	8	1	39	0	0	0	0	2	0	8	2	6	3	0	15
Zotu166	83	0	22	0	47	0	18	0	3	1	0	6	10	24	19	37	21	11	6	2	7	5	4	13
Zotu62	80	160	190	75	186	118	150	33	426	36	41	161	141	56	101	69	80	191	127	80	11	41	113	26
Zotu157	33	25	10	24	4	7	0	11	18	2	2	21	14	26	7	11	21	19	54	41	20	14	45	95
Zotu38	89	327	4	214	36	166	88	310	90	308	337	30	167	41	162	93	106	253	229	26	322	233	77	131
Zotu177	19	69	9	15	13	10	8	23	12	7	19	16	16	5	4	6	4	3	4	9	25	14	9	15
Zotu205	55	32	6	28	41	9	30	29	0	2	1	0	0	4	3	6	1	3	1	2	3	5	1	4
Zotu66	56	0	507	4	319	6	92	0	53	0	4	147	300	193	333	57	136	87	2	19	0	4	7	2
Zotu106	82	0	33	0	172	0	37	0	0	0	0	0	49	53	114	45	156	51	30	4	20	76	1	0
Zotu75	100	71	42	30	38	34	144	17	46	40	9	41	59	35	66	33	33	64	125	198	122	140	195	130
Zotu29	107	57	22	114	108	129	105	224	73	168	208	77	137	39	104	83	149	148	829	256	1268	375	444	376
Zotu85	44	66	24	72	77	39	29	144	7	148	249	7	6	9	2	2	8	9	153	41	73	23	82	71
Zotu81	88	73	136	45	120	82	167	33	197	16	25	67	72	41	54	59	80	115	50	34	3	28	21	9
